geom,lat,lon,rainfall_avg,temp_avg,soil_type,drought_frequency
POINT(-121.0 36.0),36.0,-121.0,13.0,50.43,Clay Loam,5.0
POINT(-120.98 36.0),36.0,-120.98,20.6,56.41,Clay Loam,5.0
POINT(-120.96000000000001 36.0),36.0,-120.96000000000001,18.95,57.01,Clay Loam,5.0
POINT(-120.94000000000001 36.0),36.0,-120.94000000000001,14.27,56.22,Clay Loam,5.0
POINT(-120.92000000000002 36.0),36.0,-120.92000000000002,23.71,57.97,Clay Loam,4.03
POINT(-120.90000000000002 36.0),36.0,-120.90000000000002,10.73,53.76,Clay Loam,5.0
POINT(-120.88000000000002 36.0),36.0,-120.88000000000002,22.04,59.3,Silt,4.1
POINT(-120.86000000000003 36.0),36.0,-120.86000000000003,12.51,54.48,Silt,5.0
POINT(-120.84000000000003 36.0),36.0,-120.84000000000003,23.97,70.09,Silt,4.95
POINT(-120.82000000000004 36.0),36.0,-120.82000000000004,10.81,69.7,Silt,5.0
POINT(-120.80000000000004 36.0),36.0,-120.80000000000004,25.55,54.29,Silt,4.64
POINT(-120.78000000000004 36.0),36.0,-120.78000000000004,9.64,72.66,Peat,5.0
POINT(-120.76000000000005 36.0),36.0,-120.76000000000005,20.63,71.81,Peat,4.47
POINT(-120.74000000000005 36.0),36.0,-120.74000000000005,17.85,60.03,Peat,5.0
POINT(-120.72000000000006 36.0),36.0,-120.72000000000006,11.32,59.3,Peat,5.0
POINT(-120.70000000000006 36.0),36.0,-120.70000000000006,18.64,57.3,Peat,5.0
POINT(-120.68000000000006 36.0),36.0,-120.68000000000006,15.74,63.92,Chalky,5.0
POINT(-120.66000000000007 36.0),36.0,-120.66000000000007,13.37,48.25,Chalky,5.0
POINT(-120.64000000000007 36.0),36.0,-120.64000000000007,27.08,47.33,Chalky,3.73
POINT(-120.62000000000008 36.0),36.0,-120.62000000000008,28.09,47.46,Chalky,3.94
POINT(-120.60000000000008 36.0),36.0,-120.60000000000008,10.55,71.79,Chalky,5.0
POINT(-120.58000000000008 36.0),36.0,-120.58000000000008,27.26,65.77,Loam,3.92
POINT(-120.56000000000009 36.0),36.0,-120.56000000000009,16.77,73.83,Loam,5.0
POINT(-120.54000000000009 36.0),36.0,-120.54000000000009,21.09,65.38,Loam,4.71
POINT(-120.5200000000001 36.0),36.0,-120.5200000000001,21.72,54.02,Loam,5.0
POINT(-120.5000000000001 36.0),36.0,-120.5000000000001,23.77,50.98,Loam,4.87
POINT(-120.4800000000001 36.0),36.0,-120.4800000000001,14.36,64.04,Sandy Loam,5.0
POINT(-120.46000000000011 36.0),36.0,-120.46000000000011,8.55,55.42,Sandy Loam,5.0
POINT(-120.44000000000011 36.0),36.0,-120.44000000000011,24.89,57.03,Sandy Loam,4.65
POINT(-120.42000000000012 36.0),36.0,-120.42000000000012,7.95,46.66,Sandy Loam,5.0
